experiment,homo_mae,homo_rmse,homo_r2,lumo_mae,lumo_rmse,lumo_r2,gap_mae,gap_rmse,gap_r2,average_mae,average_rmse,average_r2
traditional_lightgbm,0.13717014337346242,0.19968691246382286,0.883149679107452,0.15116852960388774,0.2199436959965946,0.9419307477063851,0.18764344775511232,0.2954800789366284,0.904480910003645,0.15866070691082082,0.23837022913234862,0.9098537789391606
fusion_chemberta_lightgbm,0.15185837334141172,0.2183802112977022,0.8602482454461697,0.15123888775794195,0.22576341654531662,0.938817061145254,0.20114099330273102,0.31052492433303874,0.8945062591566866,0.16807941813402824,0.25155618405868585,0.8978571885827034
fusion_molformer_lightgbm,0.1514095504670414,0.21314615824748132,0.8668669983053254,0.15749028324741499,0.22491127262527352,0.9392780594348223,0.2055684877615047,0.31116039653683053,0.8940740430615399,0.17148944049198703,0.2497392758031951,0.9000730336005626
fusion_both_emb_lightgbm,0.15603840850883996,0.2199657052919507,0.8582116148124493,0.1590806486710124,0.23104259138296102,0.9359222445813292,0.20909113808663954,0.31575161463262424,0.8909250748412112,0.1747367317554973,0.255586637102512,0.8950196447449965
traditional_ridge,0.17027556896209717,0.23719593585948803,0.835128664970398,0.20821765065193176,0.2933366754031709,0.8967105746269226,0.27240949869155884,0.393450398979804,0.8306388854980469,0.21696757276852927,0.3079943367474876,0.8541593750317892
fusion_molformer_ridge,0.178422749042511,0.24778514480175845,0.8200792670249939,0.20937089622020721,0.2949837752301322,0.8955473899841309,0.2799515128135681,0.39918772806471964,0.8256635665893555,0.22258171935876211,0.31398554936553674,0.8470967411994934
fusion_chemberta_ridge,0.18177935481071472,0.24945658991098082,0.8176437616348267,0.21143080294132233,0.29733144655496807,0.8938781023025513,0.2776333689689636,0.39900105955585535,0.8258265852928162,0.22361450890700021,0.3152630320072681,0.8457828164100647
fusion_both_emb_ridge,0.1906564086675644,0.2611868420830168,0.8000905513763428,0.214656800031662,0.30276469417227536,0.8899642825126648,0.28866326808929443,0.40819921902334666,0.8177036046981812,0.23132549226284027,0.32405025175954627,0.8359194795290629
both_emb_only_lightgbm,0.1969274594904589,0.273949688159146,0.7800761517887866,0.2366603434031354,0.32306969017899495,0.874710225708227,0.27324696608044835,0.38433589555363123,0.8383946778525184,0.2356115896580142,0.32711842463059077,0.8310603517831773
molformer_only_lightgbm,0.19784665444064164,0.27612423714327383,0.7765708859582392,0.25190147146490016,0.342438601407789,0.8592369638276884,0.28530848944983406,0.4067020274276358,0.8190383954717937,0.2450188717851253,0.3417549553262329,0.8182820817525739
both_emb_only_ridge,0.21393537521362305,0.28391438320856954,0.7637860774993896,0.2593825161457062,0.3507535209825703,0.8523181080818176,0.31684795022010803,0.43360708405208154,0.7943037152290344,0.26338861385981244,0.35609166274774046,0.8034693002700806
molformer_only_ridge,0.22107486426830292,0.2944648941129262,0.7459040880203247,0.26468437910079956,0.355534201664159,0.8482649326324463,0.3272384703159332,0.44686575259797595,0.7815319895744324,0.2709992378950119,0.36562161612502037,0.7919003367424011
chemberta_only_lightgbm,0.24949345137644713,0.337237733726529,0.6667247755272121,0.28346335407724166,0.38830998090529395,0.8189992795282858,0.327576165005594,0.4507268591903848,0.777740342279261,0.2868443234864276,0.3920915246074026,0.7544881324449196
chemberta_only_ridge,0.269628643989563,0.3532912242886785,0.6342398524284363,0.31909826397895813,0.4145174046751817,0.7937430143356323,0.36726146936416626,0.48789312577351174,0.7395747303962708,0.3186627924442291,0.41856725157912394,0.7225191990534464
