dataset,score_decile,n,predicted_gain,actual_gain,actual_win_rate
common_all,0,204,0.004758017624321455,0.0015534470264269933,0.5392156862745098
common_all,1,192,0.005019633597175118,-0.0021390765546252214,0.4375
common_all,2,198,0.005348279054784739,0.001869629762365356,0.494949494949495
common_all,3,199,0.00560397827298727,0.002151284503948477,0.5477386934673367
common_all,4,195,0.005919138457124537,0.00428506436782104,0.48717948717948717
common_all,5,197,0.006182325331909494,0.0037638601539457576,0.5329949238578681
common_all,6,197,0.006660110335276699,0.003403482941047874,0.5025380710659898
common_all,7,198,0.007470439946831621,0.003519372878794623,0.5404040404040404
common_all,8,197,0.008428459496559437,0.004203814970488594,0.5329949238578681
common_all,9,198,0.014525311557873528,0.02038618812024437,0.6212121212121212
common_ood1000,0,126,0.004750915740008377,0.002987092453175823,0.5793650793650794
common_ood1000,1,75,0.004850346084302618,-0.002261435490615818,0.41333333333333333
common_ood1000,2,102,0.005043695704799725,-0.003913342857073781,0.4215686274509804
common_ood1000,3,96,0.005309869972588158,-0.0014520837257031734,0.4583333333333333
common_ood1000,4,100,0.00561939379631873,0.0015417827005898598,0.57
common_ood1000,5,100,0.006064546645128426,0.0047788443691161265,0.49
common_ood1000,6,99,0.0067086079906564745,-0.004441646613352651,0.36363636363636365
common_ood1000,7,103,0.007548254469271373,0.0007941545881623575,0.47572815533980584
common_ood1000,8,97,0.008297524950103566,0.002464284979743318,0.4639175257731959
common_ood1000,9,100,0.012537469394677902,0.004334843830481177,0.57
common_p8_targeted_hard,0,98,0.004940512285911002,0.003589674413709465,0.5408163265306123
common_p8_targeted_hard,1,98,0.005391139418788434,0.001791591644035141,0.47959183673469385
common_p8_targeted_hard,2,97,0.005600601676238129,0.0018372300638081233,0.5257731958762887
common_p8_targeted_hard,3,98,0.005826008152665791,0.002343970475487263,0.46938775510204084
common_p8_targeted_hard,4,99,0.00606292994237009,0.006163237312064447,0.5959595959595959
common_p8_targeted_hard,5,96,0.006241075619724058,0.005684542238049199,0.53125
common_p8_targeted_hard,6,98,0.006619710045169688,0.008418316395758477,0.5714285714285714
common_p8_targeted_hard,7,97,0.0073825719159952684,0.00856756658978123,0.6597938144329897
common_p8_targeted_hard,8,98,0.00863300295546984,0.00913047198317039,0.6020408163265306
common_p8_targeted_hard,9,98,0.01649118870608471,0.033231027427626375,0.6632653061224489
pcqm_proxy,0,412,0.004689002811415256,-0.003673201402765514,0.4029126213592233
pcqm_proxy,1,206,0.00477030373121783,-0.002511720546644121,0.41262135922330095
pcqm_proxy,2,280,0.004910696338285461,-0.005548058672090482,0.43214285714285716
pcqm_proxy,3,297,0.005349436217071229,-0.0008749371896487547,0.4478114478114478
pcqm_proxy,4,299,0.005999106861970713,-0.0032434819524679863,0.46488294314381273
pcqm_proxy,5,299,0.006777821918364206,-0.0012725469550003323,0.4882943143812709
pcqm_proxy,6,303,0.00760466886277705,-0.004236244846276647,0.46534653465346537
pcqm_proxy,7,294,0.008398503992448167,-0.0014398647346071292,0.47278911564625853
pcqm_proxy,8,299,0.01119427039579561,-0.006863742728889543,0.4280936454849498
pcqm_proxy,9,299,0.021849060027714272,-0.016883255995616114,0.4414715719063545
