dataset,feature,bin,n,base_loss,expert_loss,fixed_loss,mean_gain,expert_win_rate,fixed_route_rate,fixed_precision,fixed_recall
internal,base_gap,<2,62,0.1702243104096382,0.1426793812744079,0.1426793812744079,0.02754492913523028,0.5967741935483871,1.0,0.5967741935483871,1.0
internal,base_gap,2-3,1401,0.11189397819058372,0.09787788275073546,0.09787788275073546,0.014016095439848263,0.622412562455389,1.0,0.622412562455389,1.0
internal,base_gap,3-4,11230,0.09148758928045192,0.08365167180641836,0.08365167180641836,0.00783591747403357,0.6045414069456813,1.0,0.6045414069456813,1.0
internal,base_gap,4-5,22524,0.08694605532699631,0.08076976901341143,0.08694605532699631,0.0061762863135848825,0.6008701829160007,0.0,,0.0
internal,base_gap,>=5,14541,0.09062219699681155,0.0847671671613027,0.09062219699681155,0.00585502983550886,0.5913623547211333,0.0,,0.0
internal,mw,200-300,12535,0.07787754860679973,0.07245555560884769,0.07681058999318625,0.005421992997952046,0.5760670123653769,0.09780614280015955,0.598694942903752,0.10164797119512532
internal,mw,300-400,12126,0.0813423195779589,0.07521308675229622,0.07951291122791418,0.006129232825662676,0.5963219528286327,0.22406399472208477,0.5999263894000736,0.2254183377126262
internal,mw,400-500,10666,0.08616169408946418,0.07967592579908649,0.08329660329018951,0.006485768290377696,0.6068816801050065,0.38477404837802365,0.6074561403508771,0.38513826664606826
internal,mw,>=500,14431,0.11012962697519182,0.10166663852963392,0.10713434610680724,0.00846298844555789,0.6171436490887673,0.3219458111011018,0.6114937580714593,0.31899842802604983
internal,aromatic_rings,0,3593,0.12643780764267512,0.11412325987560976,0.12483565729111952,0.012314547767065365,0.6209295853047593,0.05594210965766769,0.6218905472636815,0.056028686687584046
internal,aromatic_rings,1,9390,0.08771367803919183,0.08168114383835881,0.08638689885906779,0.0060325342008330255,0.5854100106496273,0.1020234291799787,0.6440501043841336,0.11224304165908677
internal,aromatic_rings,2,12938,0.0887992395413298,0.08252384598395134,0.08697283844109224,0.0062753935573784695,0.5955325398052249,0.22314113464213944,0.5940422583997229,0.2225827384815055
internal,aromatic_rings,3-4,19450,0.08596353921979118,0.07972380398250434,0.08341745196036925,0.006239735237286836,0.6015938303341902,0.32431876606683807,0.6047875713379836,0.3260405093581745
internal,aromatic_rings,>=5,4387,0.0848040657321577,0.0779317630576992,0.08070665720563051,0.006872302674458488,0.6147709140642809,0.5331661727832232,0.6096622488242839,0.5287356321839081
internal,rotatable_bonds,0,392,0.12833890585378477,0.11227716538729621,0.12153497926014172,0.016061740466488564,0.6020408163265306,0.3673469387755102,0.5694444444444444,0.3474576271186441
internal,rotatable_bonds,1-3,8920,0.07609852114772594,0.06985370747210858,0.07390554974420334,0.006244813675617365,0.5875560538116592,0.24170403587443945,0.5909090909090909,0.24308338103415378
internal,rotatable_bonds,4-6,19286,0.08003579119737105,0.07419822864893197,0.07795588738159764,0.005837562548439074,0.5915690137923882,0.2619516747900031,0.6082739509105305,0.2693487597510737
internal,rotatable_bonds,7-10,14958,0.09552817659687894,0.08869484717567087,0.09331666349702196,0.006833329421208071,0.6075678566653296,0.280585639791416,0.6054324517512509,0.27959947183098594
internal,rotatable_bonds,>=11,6202,0.12403175116490972,0.11487369936301803,0.12178724834836463,0.009158051801891682,0.6218961625282167,0.18445662689455014,0.6363636363636364,0.18874773139745918
internal,conjugated_bonds,0-2,1704,0.11273644376632773,0.10197186297943385,0.11256707365278366,0.01076458078689388,0.6226525821596244,0.00528169014084507,0.5555555555555556,0.00471253534401508
internal,conjugated_bonds,3-5,1490,0.10972342161565625,0.10059205076126726,0.10845946612015472,0.009131370854388997,0.6013422818791946,0.01476510067114094,0.7727272727272727,0.018973214285714284
internal,conjugated_bonds,6-9,4948,0.08210993770801656,0.07692319214635157,0.08164871698029656,0.005186745561664983,0.5679062247372676,0.025869037995149554,0.671875,0.030604982206405694
internal,conjugated_bonds,10-14,7337,0.0857226334431979,0.0793213547196213,0.0845785038369764,0.006401278723576595,0.5964290581981736,0.09268093226114216,0.6029411764705882,0.09369287020109689
internal,conjugated_bonds,>=15,34279,0.08985138374190096,0.08317045480440505,0.08703644780130682,0.006680928937495911,0.603518188978675,0.3458093876717524,0.6057027163826556,0.347061098221191
common_all,eval_set,ood1000,999,0.11879429513199072,0.11882171249637012,0.11748443951318191,-2.7417364379399465e-05,0.4854854854854855,0.19119119119119118,0.5968586387434555,0.23505154639175257
common_all,eval_set,p8_targeted_hard,978,0.10206440188733512,0.09416905558719708,0.09833619602669862,0.00789534630013805,0.5930470347648262,0.35685071574642124,0.6160458452722063,0.3706896551724138
common_all,base_gap,<2,2,0.03883055628374976,0.03535608455625017,0.03535608455625017,0.003474471727499595,0.5,1.0,0.5,1.0
common_all,base_gap,2-3,89,0.10960682963353932,0.09798787862755615,0.09798787862755615,0.011618951005983173,0.6179775280898876,1.0,0.6179775280898876,1.0
common_all,base_gap,3-4,449,0.10989946363163977,0.10118299255835468,0.10118299255835468,0.008716471073285086,0.6080178173719376,1.0,0.6080178173719376,1.0
common_all,base_gap,4-5,895,0.10668169824181982,0.10342345747550977,0.10668169824181982,0.003258240766310063,0.5251396648044693,0.0,,0.0
common_all,base_gap,>=5,542,0.11778014360827489,0.11810596989281368,0.11778014360827489,-0.0003258262845387795,0.4907749077490775,0.0,,0.0
common_all,mw,200-300,465,0.11059877653909678,0.10929483879505378,0.10918732353132257,0.0013039377440429878,0.5032258064516129,0.1032258064516129,0.5208333333333334,0.10683760683760683
common_all,mw,300-400,386,0.10503256454451423,0.10617984294325776,0.10446806142988989,-0.0011472783987435393,0.4844559585492228,0.20984455958549222,0.5925925925925926,0.25668449197860965
common_all,mw,400-500,455,0.10831502673615934,0.10243083822716481,0.10461727572731319,0.0058841885089945195,0.6043956043956044,0.4021978021978022,0.6612021857923497,0.44
common_all,mw,>=500,671,0.11511199361081594,0.10787880229358418,0.11153817761229506,0.00723319131723175,0.5499254843517138,0.33979135618479883,0.5921052631578947,0.36585365853658536
common_all,aromatic_rings,0,169,0.15185920569014055,0.15205604720166424,0.1515534478603476,-0.00019684151152370329,0.48520710059171596,0.08875739644970414,0.4666666666666667,0.08536585365853659
common_all,aromatic_rings,1,352,0.12741003689393107,0.12485549539251067,0.12644616250910864,0.002554541501420434,0.5056818181818182,0.13352272727272727,0.5957446808510638,0.15730337078651685
common_all,aromatic_rings,2,439,0.11312481347984338,0.11035491175889238,0.11001836432187642,0.0027699017209510133,0.5079726651480638,0.23917995444191345,0.6761904761904762,0.3183856502242152
common_all,aromatic_rings,3-4,729,0.10164439188700274,0.09646898789147802,0.09854959942591907,0.005175403995524702,0.5692729766803841,0.31275720164609055,0.6096491228070176,0.3349397590361446
common_all,aromatic_rings,>=5,288,0.08410205670520401,0.07771500818703558,0.08082448950477863,0.006387048518168416,0.5798611111111112,0.5034722222222222,0.5793103448275863,0.5029940119760479
common_all,rotatable_bonds,0,20,0.1242637849460625,0.10098088147168757,0.10610738865493756,0.023282903474374925,0.65,0.65,0.6923076923076923,0.6923076923076923
common_all,rotatable_bonds,1-3,305,0.09433295604094263,0.09204856611011474,0.09206644699166393,0.002284389930827877,0.5311475409836065,0.3081967213114754,0.574468085106383,0.3333333333333333
common_all,rotatable_bonds,4-6,591,0.10417745992216795,0.10139689859547167,0.10195962492696067,0.0027805613266962594,0.5329949238578681,0.24534686971235195,0.6068965517241379,0.27936507936507937
common_all,rotatable_bonds,7-10,762,0.1160317080537713,0.11192233903407642,0.11337918305165844,0.004109369019694879,0.5406824146981627,0.2979002624671916,0.6255506607929515,0.3446601941747573
common_all,rotatable_bonds,>=11,299,0.1245906964558152,0.11871373726168476,0.12268984904691053,0.005876959194130453,0.5451505016722408,0.2040133779264214,0.5901639344262295,0.22085889570552147
common_all,conjugated_bonds,0-2,58,0.13049780037631462,0.13223160206588364,0.13049780037631462,-0.0017338016895690023,0.4827586206896552,0.0,,0.0
common_all,conjugated_bonds,3-5,63,0.14660207597801586,0.14838851715559526,0.14660207597801586,-0.001786441177579376,0.4603174603174603,0.0,,0.0
common_all,conjugated_bonds,6-9,206,0.12152707718859218,0.1221226207536408,0.11960625033860432,-0.0005955435650485925,0.49029126213592233,0.024271844660194174,0.6,0.0297029702970297
common_all,conjugated_bonds,10-14,239,0.12377931547317991,0.12277408308025106,0.12369915686125521,0.0010052323929288496,0.46443514644351463,0.13389121338912133,0.46875,0.13513513513513514
common_all,conjugated_bonds,>=15,1411,0.10423235178971742,0.09871158888454908,0.10101485862490873,0.0055207629051683286,0.5641389085754784,0.35648476257973066,0.6182902584493042,0.3907035175879397
pcqm_proxy,base_gap,2-3,24,0.4678984227479166,0.4126503981583333,0.4126503981583333,0.055248024589583354,0.5833333333333334,1.0,0.5833333333333334,1.0
pcqm_proxy,base_gap,3-4,341,0.23352203763146626,0.23545471496973608,0.23545471496973608,-0.0019326773382697686,0.49266862170087977,1.0,0.49266862170087977,1.0
pcqm_proxy,base_gap,4-5,1147,0.23972247597548826,0.24765067678307323,0.23972247597548826,-0.007928200807584988,0.4420226678291194,0.0,,0.0
pcqm_proxy,base_gap,>=5,1476,0.26444846408750006,0.2681965128834892,0.26444846408750006,-0.003748048795989163,0.46680216802168023,0.0,,0.0
pcqm_proxy,mw,200-300,2815,0.2551295985202079,0.26020697048138014,0.25483437608178156,-0.005077371961172286,0.4571936056838366,0.11580817051509769,0.49693251533742333,0.1258741258741259
pcqm_proxy,mw,300-400,153,0.21365307575751635,0.21191268199392152,0.21448961462267976,0.0017403937635948321,0.5163398692810458,0.21568627450980393,0.5151515151515151,0.21518987341772153
pcqm_proxy,mw,400-500,17,0.2538097543535295,0.2466219076776472,0.25419781905941186,0.007187846675882244,0.6470588235294118,0.23529411764705882,0.5,0.18181818181818182
pcqm_proxy,mw,>=500,3,0.31822788867333324,0.3364039886733334,0.3280792220066666,-0.0181761000000001,0.3333333333333333,0.6666666666666666,0.5,1.0
pcqm_proxy,aromatic_rings,0,605,0.3540753209341901,0.35609680676433886,0.3532724120391653,-0.002021485830148763,0.5223140495867769,0.10082644628099173,0.5737704918032787,0.11075949367088607
pcqm_proxy,aromatic_rings,1,1415,0.24675471388421205,0.253016039195159,0.24700872046430392,-0.006261325310946983,0.43886925795053006,0.10671378091872792,0.46357615894039733,0.11272141706924316
pcqm_proxy,aromatic_rings,2,782,0.20528353360908566,0.21033532924617007,0.20514037606468669,-0.005051795637084389,0.45907928388746805,0.13171355498721227,0.5048543689320388,0.14484679665738162
pcqm_proxy,aromatic_rings,3-4,185,0.17420614805324328,0.17360790103135135,0.17169331644556754,0.0005982470218918905,0.44324324324324327,0.2648648648648649,0.5102040816326531,0.3048780487804878
pcqm_proxy,aromatic_rings,>=5,1,0.014839931815000096,0.051093931815000104,0.051093931815000104,-0.03625400000000001,0.0,1.0,0.0,
pcqm_proxy,rotatable_bonds,0,197,0.26083722317243657,0.26663144619375634,0.2578389549114214,-0.005794223021319771,0.4619289340101523,0.2182741116751269,0.4883720930232558,0.23076923076923078
pcqm_proxy,rotatable_bonds,1-3,1697,0.23738480627017383,0.24119130030275487,0.2368230223377696,-0.003806494032581009,0.45668827342368884,0.13671184443134943,0.5129310344827587,0.15354838709677418
pcqm_proxy,rotatable_bonds,4-6,840,0.2709791408800179,0.27912235222707743,0.27170824518542264,-0.00814321134705952,0.4380952380952381,0.0880952380952381,0.47297297297297297,0.09510869565217392
pcqm_proxy,rotatable_bonds,7-10,199,0.27543001367487435,0.27336503971206033,0.276417958128995,0.0020649739628140285,0.5778894472361809,0.07537688442211055,0.4666666666666667,0.06086956521739131
pcqm_proxy,rotatable_bonds,>=11,55,0.3543307208971819,0.35302902471463643,0.3555679572608182,0.0013016961825453744,0.5272727272727272,0.01818181818181818,0.0,0.0
pcqm_proxy,conjugated_bonds,0-2,278,0.3740420902733454,0.3762101488301439,0.37396447228773383,-0.002168058556798579,0.5467625899280576,0.0035971223021582736,1.0,0.006578947368421052
pcqm_proxy,conjugated_bonds,3-5,191,0.3178795346667277,0.3258774004416492,0.3181399330960471,-0.007997865774921455,0.4869109947643979,0.02617801047120419,0.4,0.021505376344086023
pcqm_proxy,conjugated_bonds,6-9,787,0.26703294660622623,0.2681666636835452,0.26609647027546385,-0.0011337170773189282,0.45108005082592123,0.045743329097839895,0.4722222222222222,0.04788732394366197
pcqm_proxy,conjugated_bonds,10-14,1124,0.23608482726259786,0.2437164945119484,0.23612673197829182,-0.007631667249350511,0.4483985765124555,0.13167259786476868,0.5,0.14682539682539683
pcqm_proxy,conjugated_bonds,>=15,608,0.1906829323613816,0.1945617395348355,0.19067444231873354,-0.003878807173453951,0.4506578947368421,0.2878289473684211,0.5028571428571429,0.32116788321167883
