model,split,homo_mae,homo_rmse,homo_r2,lumo_mae,lumo_rmse,lumo_r2,gap_mae,gap_rmse,gap_r2,average_mae,average_rmse,average_r2,run
lightgbm,y_random_000,0.4749618192646172,0.6075271242227073,-0.08158847409302883,0.7546846472743245,0.9500688772708011,-0.08351113677980204,0.7630840681904574,0.9928421437145545,-0.07843548821034596,0.6642435115764663,0.8501460484026877,-0.08117836636105895,0
lightgbm,y_random_001,0.4828451581145331,0.6155757680941998,-0.11043652063750331,0.7450428639758241,0.9388573739427613,-0.05808958548699161,0.7669248380649033,0.9970576753231317,-0.08761283887112858,0.6649376200517535,0.8504969391200309,-0.0853796483318745,1
lightgbm,y_random_002,0.46546608104517484,0.5958219005768907,-0.040312053259913716,0.750084124033219,0.9472579031624211,-0.07710904083205761,0.7708813094696115,1.0032778029013256,-0.10122527621263377,0.6621438381826684,0.8487858688802125,-0.07288212343486837,2
lightgbm,y_random_003,0.46846092687420354,0.6005081085263904,-0.05674075550876112,0.74580054976562,0.9363114070670794,-0.0523587715364795,0.7700010089744267,1.0045822958319843,-0.10409083249435147,0.6614208285380835,0.847133937141818,-0.07106345317986403,3
lightgbm,y_random_004,0.4616107415526906,0.591413384715844,-0.024974364924385206,0.7309669634253548,0.9254567426853686,-0.0281002017411911,0.7699803516995068,1.004334544532183,-0.10354631521665536,0.6541860188925175,0.8404015573111319,-0.05220696062741056,4
lightgbm,y_random_005,0.46929351274139686,0.6017804652083372,-0.061223544533123064,0.7514636980444533,0.9521087929631687,-0.08816899746141238,0.7632889445193136,0.9931565495106995,-0.07911861806518683,0.6613487184350546,0.8490152692274018,-0.0761703866865741,5
lightgbm,y_random_006,0.46891536314977295,0.6011176413110274,-0.058887088007172794,0.7597978537010824,0.9493106052353926,-0.08178227617354583,0.7695433288390207,0.9991193163503699,-0.09211525734076065,0.6660855152299586,0.8498491876322632,-0.07759487384049309,6
lightgbm,y_random_007,0.4717373627509911,0.6006663328114217,-0.0572976974572974,0.748224276566142,0.9457575023446948,-0.07369958838979751,0.7719161305547609,1.000113705325395,-0.09429022839066747,0.6639592566239646,0.8488458468271706,-0.07509583807925413,7
lightgbm,y_random_008,0.4723434794660126,0.6065344593088963,-0.07805685306421317,0.748697959135496,0.9485849481380075,-0.08012907025257832,0.7590908768901884,0.991399125931251,-0.0753029244099126,0.660044105163899,0.8488395111260516,-0.07782961590890136,8
lightgbm,y_random_009,0.4683559012663063,0.5975884462356881,-0.04649001722807733,0.7471903058650469,0.9460322648195078,-0.07432354370399108,0.7573917505564897,0.9937767895459172,-0.08046688801818136,0.6576459858959476,0.8457991668670376,-0.0670934829834166,9
lightgbm,y_random_010,0.4684928505726978,0.6095264849411217,-0.08871916430412208,0.7607972030593232,0.9635986808032098,-0.11459114901710055,0.7609273138972169,0.9869983190430166,-0.06577760346268846,0.6634057891764127,0.853374494929116,-0.0896959722613037,10
lightgbm,y_random_011,0.46557266108814255,0.598327959781612,-0.04908167506057426,0.7567655358545458,0.9538669393663569,-0.09219149326510423,0.7646008111785663,0.9889891694298054,-0.07008144802365246,0.6623130027070848,0.8470613561925915,-0.07045153878311032,11
lightgbm,y_random_012,0.4671435749180844,0.6011709449682642,-0.05907488837439878,0.7579866713601462,0.9519529424285355,-0.08781278220311739,0.751652039716611,0.9818023113522679,-0.05458566564541267,0.6589274286649472,0.8449753995830225,-0.06715777874097628,12
lightgbm,y_random_013,0.46467652978377305,0.6004563946205905,-0.056558756837827184,0.7450102940436011,0.9394937273091836,-0.0595244084423574,0.7602712749479479,0.9966034585845746,-0.08662212500698052,0.656652699591774,0.8455178601714496,-0.06756843009572171,13
lightgbm,y_random_014,0.47576520430160507,0.6062040426698646,-0.07688260519610624,0.758533687166187,0.953867351817109,-0.09219243778950603,0.7531510141810425,0.9741214071136446,-0.03814959393742723,0.6624833018829448,0.8447309338668726,-0.0690748789743465,14
lightgbm,y_random_015,0.4692251126784417,0.5995429546027323,-0.053346636922775525,0.752126393305136,0.9486544916229301,-0.0802874507821063,0.7497694962406576,0.9858347789507804,-0.06326626376701272,0.657040334074745,0.8446774083921476,-0.06563345049063152,15
lightgbm,y_random_016,0.47471344881870825,0.6083071851079802,-0.08436776240700006,0.7511554426744599,0.9439896375650996,-0.0696892969353271,0.7584041319491767,0.9898588211449184,-0.07196419325206449,0.6614243411474483,0.8473852146059994,-0.07534041753146388,16
lightgbm,y_random_017,0.47259219159780425,0.6020516368471452,-0.06218016769393708,0.7331389891356639,0.9254511304509027,-0.028087732391463005,0.7574957575192224,0.9897577199697778,-0.0717452300975403,0.6544089794175635,0.8390868290892751,-0.0540043767276468,17
lightgbm,y_random_018,0.47368395864551827,0.6037704234932048,-0.06825362385595923,0.7546695196182541,0.9534827271927971,-0.09131181343281236,0.7435859472743185,0.9771793757158296,-0.044677757157661535,0.6573131418460303,0.8448108421339438,-0.06808106481547771,18
lightgbm,y_random_019,0.4698384517327173,0.6016641165764015,-0.060813228882641956,0.7529828935888963,0.9482289334057441,-0.079318452919801,0.7694956288887035,0.9983108840028816,-0.09034861327890864,0.6641056580701057,0.8494013113283424,-0.0768267650271172,19
